IMDB_ID,Title,Stars,Year,Genres,Description,Certificate,Writers,Director,Primary Genre,Votes,Rating,Duration
tt2083383,Trouble with the Curve,"Clint Eastwood, Amy Adams, John Goodman, Clint Eastwood, Amy Adams, John Goodman",2012,"Baseball, Drama, Romance, Sport, Back to top","A daughter tries to remedy her dysfunctional relationship with her ailing father, a decorated baseball scout, by helping him in a recruiting trip which could be his last.",PG-13,Randy Brown,Robert Lorenz,Baseball,70218,6.8,111
tt0310775,Sympathy for Mr. Vengeance,"Song Kang-ho, Shin Ha-kyun, Bae Doona, Song Kang-ho, Shin Ha-kyun, Bae Doona",2002,"Crime, Drama, Thriller, Back to top","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",R,"Jae-sun Lee, Mu-yeong Lee, Jong-yong Lee",Park Chan-wook,Crime,77575,7.5,129
tt1620933,Paan Singh Tomar,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Irrfan Khan, Mahie Gill, Rajesh Abhay",2012,"Tragedy, True Crime, Action, Biography, Crime, Sport, Thriller, Back to top","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Not Rated,"Sanjay Chauhan, Tigmanshu Dhulia",Tigmanshu Dhulia,Tragedy,38777,8.2,135
tt0209144,Memento,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",2000,"Psychological Thriller, Suspense Mystery, Mystery, Thriller, Back to top","Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",R,"Jonathan Nolan, Christopher Nolan",Christopher Nolan,Psychological Thriller,1369461,8.4,113
tt2581244,Life After Beth,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Aubrey Plaza, Dane DeHaan, John C. Reilly",2014,"B-Horror, Dark Comedy, Dark Fantasy, Farce, Supernatural Fantasy, Supernatural Horror, Zombie Horror, Comedy, Fantasy, Horror, Back to top","A young man's recently deceased girlfriend mysteriously returns from the dead, but he slowly realizes she is not the way he remembered her.",R,Jeff Baena,Jeff Baena,B-Horror,25101,5.7,89
tt1093842,My Winnipeg,"Darcy Fehr, Ann Savage, Louis Negin, Darcy Fehr, Ann Savage, Louis Negin",2007,"Dark Comedy, Comedy, Drama, Fantasy, History, Back to top","Fact, fantasy and memory are woven seamlessly together in this portrait of film-maker Guy Maddin's home town of Winnipeg, Manitoba.",Not Rated,"George Toles, Guy Maddin",Guy Maddin,Dark Comedy,5808,7.5,80
tt2967224,Hot Pursuit,"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Reese Witherspoon, Sofía Vergara, Matthew Del Negro",2015,"Dark Comedy, Action, Comedy, Crime, Back to top",An uptight and by-the-book cop (Reese Witherspoon) tries to protect the outgoing widow (Sofia Vergara) of a drug boss as they race through Texas pursued by crooked cops and murderous gunmen.,PG-13,"John Quaintance, David Feeney",Anne Fletcher,Dark Comedy,55391,5.1,87
tt0110622,Naked Gun 33 1/3: The Final Insult,"Leslie Nielsen, Priscilla Presley, George Kennedy, Leslie Nielsen, Priscilla Presley, George Kennedy",1994,"Dark Comedy, Parody, Slapstick, Comedy, Crime, Back to top",Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,PG-13,"Robert LoCash, Pat Proft, David Zucker",Peter Segal,Dark Comedy,115270,6.5,83
tt0102426,Mediterraneo,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna, Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna",1991,"Comedy, Drama, War, Back to top","In WW2, an Italian Army unit of misfits occupies an isolated non-strategic Greek island for the duration of the war.",R,Enzo Monteleone,Gabriele Salvatores,Comedy,16906,7.4,96
tt0094744,Big Top Pee-wee,"Paul Reubens, Penelope Ann Miller, Kris Kristofferson, Paul Reubens, Penelope Ann Miller, Kris Kristofferson",1988,"Adventure, Comedy, Romance, Back to top","Pee-wee Herman is now a small-town farmer with a fiancée, but when a traveling circus comes to town, he finds himself falling for the trapeze artist.",PG,"George McGrath, Paul Reubens",Randal Kleiser,Adventure,10383,5.1,86
